Brand,Year,Mileage,Transmission,Horsepower,Condition,Color,Price
Honda Civic,2023,27354,Automatic,297,Salvage,Blue,17484
Volkswagen Golf,2018,97097,Manual,279,Salvage,Gray,9757
Tesla Model 3,2020,57790,Automatic,221,Clean Title,Red,48884
BMW 3 Series,2015,81000,Manual,122,Salvage,Gray,18040
Fiat Tipo,2022,36678,Manual,269,Salvage,Black,11899
BMW 3 Series,2017,85792,Automatic,153,Repaired,Gray,35851
Honda Civic,2015,95860,Automatic,281,Minor Scratches,White,14545
Tesla Model 3,2024,8398,Manual,209,Clean Title,Blue,62990
Ford Focus,2017,116312,Automatic,129,Clean Title,Black,13104
Tesla Model 3,2023,26170,Automatic,271,Minor Scratches,Blue,52449
BMW 3 Series,2018,102774,Manual,257,Salvage,Gray,21052
Volkswagen Golf,2021,43044,Manual,127,Clean Title,Black,29488
Toyota Corolla,2024,13914,Manual,101,Salvage,Black,16254
Ford Focus,2020,73175,Automatic,180,Repaired,Black,17666
Tesla Model 3,2015,130110,Automatic,239,Minor Scratches,Red,25966
Toyota Corolla,2015,148760,Manual,169,Salvage,Gray,3534
Honda Civic,2016,122679,Automatic,260,Minor Scratches,Blue,13286
Volkswagen Golf,2023,27828,Manual,243,Minor Scratches,Black,30995
Ford Focus,2020,72225,Manual,170,Clean Title,Gray,21763
Honda Civic,2016,117234,Automatic,199,Clean Title,Gray,16020
Fiat Tipo,2015,115310,Manual,208,Salvage,Red,3184
Tesla Model 3,2018,66731,Automatic,176,Repaired,White,32950
Ford Focus,2023,28080,Manual,214,Repaired,Red,22631
Tesla Model 3,2015,113510,Automatic,156,Minor Scratches,Blue,25972
Ford Focus,2023,28384,Manual,117,Clean Title,Blue,30181
Volkswagen Golf,2019,69924,Manual,264,Clean Title,White,25012
BMW 3 Series,2022,41196,Manual,106,Clean Title,Red,61656
BMW 3 Series,2024,9595,Automatic,265,Clean Title,Black,75866
Volkswagen Golf,2018,100457,Manual,171,Clean Title,Gray,19605
Volkswagen Golf,2021,39392,Automatic,246,Salvage,Black,16712
Honda Civic,2018,65947,Manual,183,Clean Title,Blue,22370
Toyota Corolla,2016,133470,Manual,235,Repaired,Gray,7965
Tesla Model 3,2024,8128,Manual,155,Repaired,White,47498
Volkswagen Golf,2020,53930,Automatic,296,Salvage,Red,14480
Honda Civic,2015,132610,Manual,216,Salvage,Gray,5355
Honda Civic,2020,68535,Automatic,204,Salvage,White,13190
Honda Civic,2019,58818,Manual,131,Clean Title,Blue,23449
Tesla Model 3,2022,41919,Manual,206,Clean Title,Gray,54091
Honda Civic,2016,88650,Manual,207,Salvage,Black,8510
BMW 3 Series,2021,48956,Automatic,153,Repaired,Red,45575
Tesla Model 3,2023,18928,Manual,262,Minor Scratches,Red,49736
Fiat Tipo,2015,90040,Automatic,100,Salvage,Gray,5124
Ford Focus,2019,68154,Manual,285,Repaired,Black,15414
Fiat Tipo,2023,29328,Manual,264,Clean Title,White,23908
Tesla Model 3,2016,111564,Manual,191,Repaired,Gray,23999
Ford Focus,2017,102784,Automatic,188,Repaired,Black,12537
Volkswagen Golf,2018,102683,Automatic,173,Salvage,Gray,10327
Fiat Tipo,2015,143120,Automatic,114,Minor Scratches,Black,4658
Tesla Model 3,2023,22612,Automatic,263,Minor Scratches,Gray,53567
Toyota Corolla,2015,138400,Manual,214,Repaired,Blue,6680
BMW 3 Series,2021,58404,Manual,212,Salvage,White,27892
BMW 3 Series,2023,19648,Manual,286,Salvage,Black,33774
Toyota Corolla,2022,33471,Manual,249,Minor Scratches,White,26584
BMW 3 Series,2021,41008,Automatic,114,Clean Title,Gray,60133
Fiat Tipo,2020,63350,Automatic,228,Clean Title,Red,19084
Toyota Corolla,2019,63090,Automatic,153,Minor Scratches,White,20874
Tesla Model 3,2019,64902,Automatic,232,Repaired,Blue,37073
BMW 3 Series,2015,134340,Automatic,126,Repaired,Blue,26350
Volkswagen Golf,2023,16534,Automatic,251,Salvage,Gray,18401
Volkswagen Golf,2017,82112,Manual,249,Repaired,White,16429
Fiat Tipo,2016,111816,Automatic,166,Salvage,Gray,4743
Volkswagen Golf,2016,75366,Manual,237,Salvage,White,10030
Ford Focus,2017,113752,Automatic,124,Minor Scratches,Red,12901
Ford Focus,2024,14555,Manual,200,Salvage,Blue,15382
Tesla Model 3,2023,29446,Manual,112,Clean Title,Blue,56475
Honda Civic,2018,75957,Automatic,212,Minor Scratches,White,20397
Tesla Model 3,2024,14834,Manual,222,Salvage,Black,30987
Toyota Corolla,2019,48942,Manual,186,Clean Title,Gray,22920
Tesla Model 3,2015,124270,Manual,235,Repaired,Red,22577
Tesla Model 3,2021,36212,Automatic,296,Minor Scratches,Black,46907
Toyota Corolla,2017,65288,Manual,261,Minor Scratches,White,16508
Tesla Model 3,2020,67770,Manual,103,Repaired,Blue,35206
Honda Civic,2016,105498,Automatic,102,Salvage,Blue,8511
Honda Civic,2020,52725,Manual,180,Repaired,Blue,22009
Toyota Corolla,2021,37032,Manual,151,Minor Scratches,Black,23367
Tesla Model 3,2016,103716,Manual,264,Minor Scratches,Gray,27853
Ford Focus,2015,104500,Manual,252,Salvage,White,5107
Toyota Corolla,2017,98904,Manual,245,Minor Scratches,White,14092
Ford Focus,2023,19492,Manual,125,Minor Scratches,White,26947
Honda Civic,2023,19796,Automatic,209,Minor Scratches,Black,34214
Toyota Corolla,2017,70208,Manual,198,Clean Title,Black,17655
Honda Civic,2020,41005,Manual,247,Minor Scratches,Black,25124
Ford Focus,2015,106690,Manual,167,Clean Title,Blue,10641
BMW 3 Series,2018,94360,Automatic,148,Clean Title,White,44090
BMW 3 Series,2021,34672,Manual,263,Minor Scratches,Blue,53859
BMW 3 Series,2020,43540,Manual,285,Salvage,Red,28501
Fiat Tipo,2020,53100,Automatic,254,Clean Title,Gray,20582
Volkswagen Golf,2019,74952,Automatic,190,Repaired,Black,21501
Honda Civic,2016,99117,Manual,102,Salvage,Blue,7749
BMW 3 Series,2021,36152,Automatic,257,Repaired,Black,50888
Honda Civic,2021,52104,Manual,291,Salvage,Blue,14364
Tesla Model 3,2019,85950,Manual,130,Minor Scratches,White,37708
Tesla Model 3,2016,127323,Automatic,237,Salvage,Red,14921
Toyota Corolla,2018,94941,Automatic,286,Repaired,Black,15423
BMW 3 Series,2019,82350,Automatic,195,Minor Scratches,Gray,45050
Toyota Corolla,2021,44572,Manual,194,Salvage,White,13760
Toyota Corolla,2021,51080,Automatic,249,Minor Scratches,Blue,24153
Tesla Model 3,2023,24082,Manual,261,Salvage,Blue,27610
Honda Civic,2020,60865,Automatic,158,Minor Scratches,White,25650
Honda Civic,2019,69480,Automatic,236,Clean Title,Gray,25417
Ford Focus,2017,73432,Automatic,118,Repaired,Black,14692
Tesla Model 3,2023,21774,Manual,280,Clean Title,Red,56612
BMW 3 Series,2020,59275,Automatic,158,Repaired,Black,44296
Honda Civic,2016,101106,Manual,243,Clean Title,Gray,14740
Volkswagen Golf,2018,71316,Automatic,291,Clean Title,White,25533
Honda Civic,2023,20316,Automatic,273,Minor Scratches,Blue,33852
Tesla Model 3,2017,100592,Manual,165,Repaired,Blue,29167
Ford Focus,2019,80880,Automatic,262,Repaired,Blue,15886
Honda Civic,2018,89117,Automatic,228,Clean Title,Gray,20379
Toyota Corolla,2021,42776,Manual,250,Salvage,Gray,12859
Ford Focus,2022,30567,Manual,224,Repaired,Gray,21264
Ford Focus,2020,67310,Automatic,223,Minor Scratches,Gray,21180
Fiat Tipo,2022,41421,Automatic,206,Salvage,Black,12406
Ford Focus,2021,59412,Automatic,182,Minor Scratches,Black,21423
Honda Civic,2021,59536,Automatic,178,Minor Scratches,White,26768
Honda Civic,2015,110600,Manual,258,Repaired,Black,10230
BMW 3 Series,2015,101880,Manual,246,Repaired,Blue,28177
BMW 3 Series,2019,59616,Manual,187,Repaired,Black,39641
Volkswagen Golf,2020,71810,Automatic,276,Salvage,Blue,13985
Fiat Tipo,2020,47390,Manual,220,Salvage,Blue,9755
Tesla Model 3,2018,94633,Manual,298,Clean Title,White,39764
Toyota Corolla,2024,12453,Automatic,145,Minor Scratches,Red,33621
Volkswagen Golf,2019,70806,Manual,240,Minor Scratches,Black,22209
Toyota Corolla,2017,66928,Manual,175,Minor Scratches,Blue,16363
Fiat Tipo,2022,33411,Automatic,230,Salvage,Blue,11909
Toyota Corolla,2019,66402,Manual,184,Repaired,Red,17219
BMW 3 Series,2023,24388,Automatic,249,Minor Scratches,Black,62193
Ford Focus,2015,119780,Manual,144,Minor Scratches,Gray,7734
Fiat Tipo,2024,11019,Automatic,245,Salvage,Red,14629
Fiat Tipo,2017,100888,Automatic,193,Salvage,Gray,6186
Fiat Tipo,2022,42111,Automatic,107,Clean Title,Black,22607
BMW 3 Series,2017,82512,Automatic,215,Minor Scratches,White,38751
Toyota Corolla,2018,99729,Automatic,126,Clean Title,Black,18497
Toyota Corolla,2021,32308,Automatic,120,Repaired,Blue,23189
BMW 3 Series,2024,12749,Automatic,227,Clean Title,Blue,71419
Volkswagen Golf,2017,90344,Manual,179,Clean Title,White,19437
Toyota Corolla,2018,92883,Manual,239,Clean Title,Black,17054
BMW 3 Series,2020,43395,Manual,215,Salvage,Black,29146
Toyota Corolla,2016,94554,Manual,175,Salvage,Blue,7181
BMW 3 Series,2021,38308,Manual,300,Minor Scratches,Black,52561
Honda Civic,2020,56445,Automatic,177,Minor Scratches,White,26049
Toyota Corolla,2023,26358,Manual,253,Repaired,Blue,24581
Honda Civic,2022,35685,Manual,204,Clean Title,Red,32277
Toyota Corolla,2017,115512,Automatic,187,Salvage,Black,7587
